Class;Date;Opening Price;Closing Price;Maximum;Minimum;Var. %;Return;MOMENTUM5;EMA12;EMA26;MACD 12-26;EMA9 of MACD 12-26;MACD 12-26-9;ROI10;ROI20;ROI30;RSI 10;RSI 14;RSI 30;STOCHRSI10;STOCHRSI14;STOCHRSI30;ADX;Williams%R(14);CCI;ATR;UO;;;;;;;;;;;;;;;;;;;;;
0;20100420;22924.41;23271.68;23271.68;22831.36;2.130;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
0;20100421;23354.58;23045.05;23363.83;23000.61;-0.010;-0.009738446;N;23236.81385;23027.61692;209.1969231;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
1;20100422;23018.57;22616.5;23171.61;22547.24;-0.019;-0.018596184;N;23141.38095;22584.87562;556.5053254;278.6586036;277.8467219;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
0;20100423;22660.93;22726;22814.05;22469.54;0.005;0.004841598;N;23077.47619;22736.85572;340.6204643;291.0509757;49.56948858;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
0;20100426;22962.51;22783.27;23053.51;22714.55;0.003;0.002520021;N;23032.2137;22786.84033;245.3733665;281.9154539;-36.54208737;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
0;20100427;22763.46;22036.47;22775.63;22036.47;-0.033;-0.032778438;-1235.21;22879.02236;21978.74921;900.2731524;405.5869936;494.6861588;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
1;20100428;21813.7;21501.24;21959.84;21281.11;-0.024;-0.024288373;-1543.81;22667.05584;21464.50852;1202.547319;564.9790586;637.56826;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
0;20100429;21597.6;21695.7;21756.07;21334;0.009;0.00904413;-920.8;22517.61648;21713.48396;804.1325212;612.8097511;191.3227701;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
1;20100430;21741.52;21562.48;21956.56;21388.73;-0.006;-0.006140387;-1163.52;22370.67241;21550.86431;819.8080962;654.2094201;165.5986761;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
0;20100503;21518.66;21628.91;21743.41;21375.27;0.003;0.003080814;-1154.36;22256.55511;21634.91351;621.6415991;647.6958559;-26.05425683;-3.70159E-07;N;N;50.30148434;N;N;0;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
